ID,Name,Top 10,Top Ten Themes,Bottom 5,Bottom Themes,,,
1,28,Achiever,Executing,Context,Strategic Thinking,,,
2,28,Competition,Influencing,Restorative,Executing,,,
3,28,Strategic,Strategic Thinking,Deliberate,Executing,,,
4,28,Relator,Relationship Building,Empathy,Relationship Building,,,
5,28,Learner,Strategic Thinking,Connectedness,Relationship Building,,,
6,28,Input,Strategic Thinking,-,-,,,
7,28,Focus,Executing,-,-,,,
8,28,Activator,Influencing,-,-,,,
9,28,Maximizer,Influencing,-,-,,,
10,28,Command,Influencing,-,-,,,
11,14,Strategic,Strategic Thinking,Harmony,Relationship Building,,,
12,14,Input,Strategic Thinking,Restorative,Executing,,,
13,14,Arranger,Executing,Analytical,Strategic Thinking,,,
14,14,Relator,Relationship Building,Deliberate,Executing,,,
15,14,Responsibility,Executing,Discipline,Executing,,,
16,14,Communication,Influencing,-,-,,,
17,14,Learner,Strategic Thinking,-,-,,,
18,14,Includer,Relationship Building,-,-,,,
19,14,Activator,Influencing,-,-,,,
20,14,Belief,Executing,-,-,,,
21,29,Harmony,Relationship Building,Communication,Influencing,,,
22,29,Relator,Relationship Building,Context,Strategic Thinking,,,
23,29,Responsibility,Executing,Woo,Influencing,,,
24,29,Consistency,Executing,Strategic,Strategic Thinking,,,
25,29,Restorative,Executing,Input,Strategic Thinking,,,
26,29,Empathy,Relationship Building,-,-,,,
27,29,Discipline,Executing,-,-,,,
28,29,Futuristic,Strategic Thinking,-,-,,,
29,29,Adaptability,Relationship Building,-,-,,,
30,29,Intellection,Strategic Thinking,-,-,,,
31,30,Activator,Influencing,Restorative,Executing,,,
32,30,Ideation,Strategic Thinking,Context,Strategic Thinking,,,
33,30,Input,Strategic Thinking,Harmony,Relationship Building,,,
34,30,Arranger,Executing,Competition,Influencing,,,
35,30,Command,Influencing,Individualization,Relationship Building,,,
36,30,Includer,Relationship Building,-,-,,,
37,30,Maximizer,Influencing,-,-,,,
38,30,Futuristic,Strategic Thinking,-,-,,,
39,30,Positivity,Relationship Building,-,-,,,
40,30,Strategic,Strategic Thinking,-,-,,,
41,27,Strategic,Strategic Thinking,Consistency,Executing,,,
42,27,Learner,Strategic Thinking,Significance,Influencing,,,
43,27,Context,Strategic Thinking,Includer,Relationship Building,,,
44,27,Ideation,Strategic Thinking,Adaptability,Relationship Building,,,
45,27,Connectedness,Relationship Building,Harmony,Relationship Building,,,
46,27,Analytical,Strategic Thinking,-,-,,,
47,27,Relator,Relationship Building,-,-,,,
48,27,Individualization,Relationship Building,-,-,,,
49,27,Arranger,Executing,-,-,,,
50,27,Self-Assurance,Influencing,-,-,,,
51,26,Learner,Strategic Thinking,Significance,Influencing,,,
52,26,Individualization,Relationship Building,Deliberate,Executing,,,
53,26,Achiever,Executing,Consistency,Executing,,,
54,26,Activator,Influencing,Empathy,Relationship Building,,,
55,26,Arranger,Executing,Harmony,Relationship Building,,,
56,26,Relator,Relationship Building,-,-,,,
57,26,Positivity,Relationship Building,-,-,,,
58,26,Maximizer,Influencing,-,-,,,
59,26,Belief,Executing,-,-,,,
60,26,Input,Strategic Thinking,-,-,,,
61,17,Strategic,Strategic Thinking,Harmony,Relationship Building,,,
62,17,Competition,Influencing,Input,Strategic Thinking,,,
63,17,Maximizer,Influencing,Restorative,Executing,,,
64,17,Empathy,Relationship Building,Discipline,Executing,,,
65,17,Individualization,Relationship Building,Achiever,Executing,,,
66,17,Futuristic,Strategic Thinking,-,-,,,
67,17,Adaptability,Relationship Building,-,-,,,
68,17,Relator,Relationship Building,-,-,,,
69,17,Developer,Relationship Building,-,-,,,
70,17,Communication,Influencing,-,-,,Cut,Final
71,25,Individualization,Relationship Building,Maximizer,Influencing,,#REF!,Adaptability
72,25,Strategic,Strategic Thinking,Deliberate,Executing,,#REF!,Input
73,25,Learner,Strategic Thinking,Consistency,Executing,,#REF!,Deliberate
74,25,Achiever,Executing,Harmony,Relationship Building,,#REF!,Intellection
75,25,Futuristic,Strategic Thinking,Context,Strategic Thinking,,#REF!,Ideation
76,25,Arranger,Executing,-,-,,,
