,id,name,bottom_five,bottom_theme
0,1,28,Context,Strategic Thinking
1,2,28,Restorative,Executing
2,3,28,Deliberate,Executing
3,4,28,Empathy,Relationship Building
4,5,28,Connectedness,Relationship Building
10,11,14,Harmony,Relationship Building
11,12,14,Restorative,Executing
12,13,14,Analytical,Strategic Thinking
13,14,14,Deliberate,Executing
14,15,14,Discipline,Executing
20,21,29,Communication,Influencing
21,22,29,Context,Strategic Thinking
22,23,29,Woo,Influencing
23,24,29,Strategic,Strategic Thinking
24,25,29,Input,Strategic Thinking
30,31,30,Restorative,Executing
31,32,30,Context,Strategic Thinking
32,33,30,Harmony,Relationship Building
33,34,30,Competition,Influencing
34,35,30,Individualization,Relationship Building
40,41,27,Consistency,Executing
41,42,27,Significance,Influencing
42,43,27,Includer,Relationship Building
43,44,27,Adaptability,Relationship Building
44,45,27,Harmony,Relationship Building
50,51,26,Significance,Influencing
51,52,26,Deliberate,Executing
52,53,26,Consistency,Executing
53,54,26,Empathy,Relationship Building
54,55,26,Harmony,Relationship Building
60,61,17,Harmony,Relationship Building
61,62,17,Input,Strategic Thinking
62,63,17,Restorative,Executing
63,64,17,Discipline,Executing
64,65,17,Achiever,Executing
70,71,25,Maximizer,Influencing
71,72,25,Deliberate,Executing
72,73,25,Consistency,Executing
73,74,25,Harmony,Relationship Building
74,75,25,Context,Strategic Thinking
80,81,32,Competition,Influencing
81,82,32,Significance,Influencing
82,83,32,Discipline,Executing
83,84,32,Context,Strategic Thinking
84,85,32,Consistency,Executing
90,91,31,Competition,Influencing
91,92,31,Includer,Relationship Building
92,93,31,Maximizer,Influencing
93,94,31,Consistency,Executing
94,95,31,Harmony,Relationship Building
110,111,18,Includer,Relationship Building
111,112,18,Significance,Influencing
112,113,18,Context,Strategic Thinking
113,114,18,Restorative,Executing
114,115,18,Woo,Influencing
120,121,24,Context,Strategic Thinking
121,122,24,Strategic,Strategic Thinking
122,123,24,Harmony,Relationship Building
123,124,24,Discipline,Executing
124,125,24,Consistency,Executing
140,141,11,Deliberate,Executing
141,142,11,Adaptability,Relationship Building
142,143,11,Connectedness,Relationship Building
143,144,11,Harmony,Relationship Building
144,145,11,Consistency,Executing
150,151,22,Context,Strategic Thinking
151,152,22,Deliberate,Executing
152,153,22,Maximizer,Influencing
153,154,22,Empathy,Relationship Building
154,155,22,Adaptability,Relationship Building
160,161,13,Adaptability,Relationship Building
161,162,13,Input,Strategic Thinking
162,163,13,Deliberate,Executing
163,164,13,Intellection,Strategic Thinking
164,165,13,Ideation,Strategic Thinking
170,171,20,Context,Strategic Thinking
171,172,20,Deliberate,Executing
172,173,20,Consistency,Executing
173,174,20,Discipline,Executing
174,175,20,Harmony,Relationship Building
180,181,19,Competition,Influencing
181,182,19,Adaptability,Relationship Building
182,183,19,Empathy,Relationship Building
183,184,19,Deliberate,Executing
184,185,19,Restorative,Executing
190,191,12,Woo,Influencing
191,192,12,Harmony,Relationship Building
192,193,12,Consistency,Executing
193,194,12,Discipline,Executing
194,195,12,Restorative,Executing
200,201,23,Command,Influencing
201,202,23,Includer,Relationship Building
202,203,23,Competition,Influencing
203,204,23,Woo,Influencing
204,205,23,Empathy,Relationship Building
210,211,21,Restorative,Executing
211,212,21,Competition,Influencing
212,213,21,Deliberate,Executing
213,214,21,Consistency,Executing
214,215,21,Significance,Influencing
