,id,name,top_ten,top_theme
0,1,28,Achiever,Executing
1,2,28,Competition,Influencing
2,3,28,Strategic,Strategic Thinking
3,4,28,Relator,Relationship Building
4,5,28,Learner,Strategic Thinking
5,6,28,Input,Strategic Thinking
6,7,28,Focus,Executing
7,8,28,Activator,Influencing
8,9,28,Maximizer,Influencing
9,10,28,Command,Influencing
10,11,14,Strategic,Strategic Thinking
11,12,14,Input,Strategic Thinking
12,13,14,Arranger,Executing
13,14,14,Relator,Relationship Building
14,15,14,Responsibility,Executing
15,16,14,Communication,Influencing
16,17,14,Learner,Strategic Thinking
17,18,14,Includer,Relationship Building
18,19,14,Activator,Influencing
19,20,14,Belief,Executing
20,21,29,Harmony,Relationship Building
21,22,29,Relator,Relationship Building
22,23,29,Responsibility,Executing
23,24,29,Consistency,Executing
24,25,29,Restorative,Executing
25,26,29,Empathy,Relationship Building
26,27,29,Discipline,Executing
27,28,29,Futuristic,Strategic Thinking
28,29,29,Adaptability,Relationship Building
29,30,29,Intellection,Strategic Thinking
30,31,30,Activator,Influencing
31,32,30,Ideation,Strategic Thinking
32,33,30,Input,Strategic Thinking
33,34,30,Arranger,Executing
34,35,30,Command,Influencing
35,36,30,Includer,Relationship Building
36,37,30,Maximizer,Influencing
37,38,30,Futuristic,Strategic Thinking
38,39,30,Positivity,Relationship Building
39,40,30,Strategic,Strategic Thinking
40,41,27,Strategic,Strategic Thinking
41,42,27,Learner,Strategic Thinking
42,43,27,Context,Strategic Thinking
43,44,27,Ideation,Strategic Thinking
44,45,27,Connectedness,Relationship Building
45,46,27,Analytical,Strategic Thinking
46,47,27,Relator,Relationship Building
47,48,27,Individualization,Relationship Building
48,49,27,Arranger,Executing
49,50,27,Self-Assurance,Influencing
50,51,26,Learner,Strategic Thinking
51,52,26,Individualization,Relationship Building
52,53,26,Achiever,Executing
53,54,26,Activator,Influencing
54,55,26,Arranger,Executing
55,56,26,Relator,Relationship Building
56,57,26,Positivity,Relationship Building
57,58,26,Maximizer,Influencing
58,59,26,Belief,Executing
59,60,26,Input,Strategic Thinking
60,61,17,Strategic,Strategic Thinking
61,62,17,Competition,Influencing
62,63,17,Maximizer,Influencing
63,64,17,Empathy,Relationship Building
64,65,17,Individualization,Relationship Building
65,66,17,Futuristic,Strategic Thinking
66,67,17,Adaptability,Relationship Building
67,68,17,Relator,Relationship Building
68,69,17,Developer,Relationship Building
69,70,17,Communication,Influencing
70,71,25,Individualization,Relationship Building
71,72,25,Strategic,Strategic Thinking
72,73,25,Learner,Strategic Thinking
73,74,25,Achiever,Executing
74,75,25,Futuristic,Strategic Thinking
75,76,25,Arranger,Executing
76,77,25,Developer,Relationship Building
